2,1,Losers Round 5,NoFluxes,NoFluxes,Penn,Melee @ Xanadu Online 386 - $500 Prize Pool!
1,2,Losers Round 5,El Pintor,bruhhhhh,El Pintor,Melee @ Xanadu Online 386 - $500 Prize Pool!
1,2,Losers Round 5,Koobie,Fishbait,Koobie,Melee @ Xanadu Online 386 - $500 Prize Pool!
1,2,Winners Round 1,Tora,Sor,Tora,Melee @ Xanadu Online 386 - $500 Prize Pool!
2,1,Winners Round 1,Poog,Poog,LilTayNastyTay,Melee @ Xanadu Online 386 - $500 Prize Pool!
2,0,Winners Round 1,Sluggo,Sluggo,Grognar,Melee @ Xanadu Online 386 - $500 Prize Pool!
2,0,Winners Round 1,Swooty,Swooty,Irwin21,Melee @ Xanadu Online 386 - $500 Prize Pool!
1,2,Winners Round 1,Kwanz,Jaehe,Kwanz,Melee @ Xanadu Online 386 - $500 Prize Pool!
2,0,Winners Round 1,ATB,ATB,Eagle,Melee @ Xanadu Online 386 - $500 Prize Pool!
0,-1,Winners Round 1,Captain  SD,Captain  SD,probably high,Melee @ Xanadu Online 386 - $500 Prize Pool!
2,1,Winners Round 1,mia,mia,Holy,Melee @ Xanadu Online 386 - $500 Prize Pool!
2,0,Winners Round 1,jams,jams,Sylvia Plath,Melee @ Xanadu Online 386 - $500 Prize Pool!
0,2,Winners Round 1,kevOCB,Pizza Steve,kevOCB,Melee @ Xanadu Online 386 - $500 Prize Pool!
0,2,Winners Round 1,Qwack,double,Qwack,Melee @ Xanadu Online 386 - $500 Prize Pool!
-1,0,Winners Round 1,The Bullfrog,goon,The Bullfrog,Melee @ Xanadu Online 386 - $500 Prize Pool!
-1,-1,Winners Round 1,dweebtrash,dweebtrash,Anomaly,Melee @ Xanadu Online 386 - $500 Prize Pool!
2,0,Winners Round 2,Ginger,Ginger,Tora,Melee @ Xanadu Online 386 - $500 Prize Pool!
2,0,Winners Round 2,PRIN$E,PRIN$E,COZY,Melee @ Xanadu Online 386 - $500 Prize Pool!
2,0,Winners Round 2,Question,Question,Poog,Melee @ Xanadu Online 386 - $500 Prize Pool!
2,1,Winners Round 2,mgmg,mgmg,Sluggo,Melee @ Xanadu Online 386 - $500 Prize Pool!
2,0,Winners Round 2,Dawson,Dawson,Swooty,Melee @ Xanadu Online 386 - $500 Prize Pool!
2,0,Winners Round 2,Rodney,Rodney,Kwanz,Melee @ Xanadu Online 386 - $500 Prize Pool!
-1,0,Winners Round 2,ATB,Rene,ATB,Melee @ Xanadu Online 386 - $500 Prize Pool!
-1,0,Winners Round 2,Captain  SD,Concussed,Captain  SD,Melee @ Xanadu Online 386 - $500 Prize Pool!
2,0,Winners Round 2,Redd,Redd,mia,Melee @ Xanadu Online 386 - $500 Prize Pool!
-1,-1,Winners Round 2,surf's up. hail satan.,surf's up. hail satan.,Puppy,Melee @ Xanadu Online 386 - $500 Prize Pool!
2,0,Winners Round 2,YoungMain,YoungMain,jams,Melee @ Xanadu Online 386 - $500 Prize Pool!
2,0,Winners Round 2,Fankriss,Fankriss,kevOCB,Melee @ Xanadu Online 386 - $500 Prize Pool!
2,0,Winners Round 2,Mot$,Mot$,Qwack,Melee @ Xanadu Online 386 - $500 Prize Pool!
2,0,Winners Round 2,codetoilet,codetoilet,AndyG,Melee @ Xanadu Online 386 - $500 Prize Pool!
2,0,Winners Round 2,Vincessant,Vincessant,The Bullfrog,Melee @ Xanadu Online 386 - $500 Prize Pool!
0,-1,Winners Round 2,Epoodle,Epoodle,dweebtrash,Melee @ Xanadu Online 386 - $500 Prize Pool!
2,0,Winners Round 3,Ginger,Ginger,PRIN$E,Melee @ Xanadu Online 386 - $500 Prize Pool!
2,0,Winners Round 3,Question,Question,mgmg,Melee @ Xanadu Online 386 - $500 Prize Pool!
2,0,Winners Round 3,Dawson,Dawson,Rodney,Melee @ Xanadu Online 386 - $500 Prize Pool!
2,0,Winners Round 3,ATB,ATB,Captain  SD,Melee @ Xanadu Online 386 - $500 Prize Pool!
2,0,Winners Round 3,Redd,Redd,surf's up. hail satan.,Melee @ Xanadu Online 386 - $500 Prize Pool!
1,2,Winners Round 3,Fankriss,YoungMain,Fankriss,Melee @ Xanadu Online 386 - $500 Prize Pool!
2,1,Winners Round 3,Mot$,Mot$,codetoilet,Melee @ Xanadu Online 386 - $500 Prize Pool!
0,2,Winners Round 3,Epoodle,Vincessant,Epoodle,Melee @ Xanadu Online 386 - $500 Prize Pool!
2,0,Winners Quarter-Final,Ginger,Ginger,Question,Melee @ Xanadu Online 386 - $500 Prize Pool!
2,0,Winners Quarter-Final,Dawson,Dawson,ATB,Melee @ Xanadu Online 386 - $500 Prize Pool!
2,0,Winners Quarter-Final,Redd,Redd,Fankriss,Melee @ Xanadu Online 386 - $500 Prize Pool!
2,0,Winners Quarter-Final,Mot$,Mot$,Epoodle,Melee @ Xanadu Online 386 - $500 Prize Pool!
-1,0,Losers Round 1,Sor,dweebtrash,Sor,Melee @ Xanadu Online 386 - $500 Prize Pool!
0,2,Losers Round 1,LilTayNastyTay,AndyG,LilTayNastyTay,Melee @ Xanadu Online 386 - $500 Prize Pool!
0,2,Losers Round 1,Grognar,Qwack,Grognar,Melee @ Xanadu Online 386 - $500 Prize Pool!
2,0,Losers Round 1,kevOCB,kevOCB,Irwin21,Melee @ Xanadu Online 386 - $500 Prize Pool!
2,0,Losers Round 1,jams,jams,Jaehe,Melee @ Xanadu Online 386 - $500 Prize Pool!
-1,0,Losers Round 1,Eagle,Puppy,Eagle,Melee @ Xanadu Online 386 - $500 Prize Pool!
